id,model,graph,factor,restore_s,target_final_fraction,target_ever_fraction,final_fraction_difference,ever_fraction_difference,final_voltage_difference_mV
case0144,bistable,original,0.9,0.02,0.0,0.0,0.0,0.0,0.0
case0145,bistable,original,0.9,0.05,0.0,0.0,0.0,0.0,0.0
case0146,bistable,original,0.9,0.2,0.0,0.0,0.0,0.0,0.0
case0147,bistable,original,0.9,0.5,0.0,0.0,0.0,0.0,0.0
case0148,bistable,original,1.0,0.02,1.0,1.0,0.0,0.0,0.0
case0149,bistable,original,1.0,0.05,1.0,1.0,0.0,0.0,0.0
case0150,bistable,original,1.0,0.2,1.0,1.0,0.0,0.0,0.0
case0151,bistable,original,1.0,0.5,1.0,1.0,0.0,0.0,0.0
case0152,bistable,original,1.1,0.02,1.0,1.0,0.0,0.0,0.0
case0153,bistable,original,1.1,0.05,1.0,1.0,0.0,0.0,0.0
case0154,bistable,original,1.1,0.2,1.0,1.0,0.0,0.0,0.0
case0155,bistable,original,1.1,0.5,1.0,1.0,0.0,0.0,0.0
case0156,bistable,interface_10pct,0.9,0.02,1.0,1.0,1.0,1.0,57.733368012093244
case0157,bistable,interface_10pct,0.9,0.05,1.0,1.0,1.0,1.0,57.733368012108905
case0158,bistable,interface_10pct,0.9,0.2,1.0,1.0,1.0,1.0,57.73336801210736
case0159,bistable,interface_10pct,0.9,0.5,1.0,1.0,1.0,1.0,57.73336801210913
case0160,bistable,interface_10pct,1.0,0.02,1.0,1.0,0.0,0.0,-7.368328169832239e-12
case0161,bistable,interface_10pct,1.0,0.05,1.0,1.0,0.0,0.0,3.552713678800501e-14
case0162,bistable,interface_10pct,1.0,0.2,1.0,1.0,0.0,0.0,-2.1245227799226996e-12
case0163,bistable,interface_10pct,1.0,0.5,1.0,1.0,0.0,0.0,-3.907985046680551e-13
case0164,bistable,interface_10pct,1.1,0.02,1.0,1.0,0.0,0.0,3.268496584496461e-13
case0165,bistable,interface_10pct,1.1,0.05,1.0,1.0,0.0,0.0,-6.465938895416912e-13
case0166,bistable,interface_10pct,1.1,0.2,1.0,1.0,0.0,0.0,-3.367972567502875e-12
case0167,bistable,interface_10pct,1.1,0.5,1.0,1.0,0.0,0.0,-6.679101716144942e-13
