id,graph,tau_s,gap,dose,pulse_s,peak_retained_percent,area_retained_percent,peak_delay_ms,centroid_delay_ms
case0000,original,0.0148,1.0,equal_charge,0.001,100.00000000000001,100.0,0.0,0.0
case0001,original,0.0148,1.0,equal_current,0.001,100.0,100.0,0.0,0.0
case0002,original,0.0148,1.0,equal_charge,0.01,100.0,100.0,0.0,0.0
case0003,original,0.0148,1.0,equal_current,0.01,100.0,100.0,0.0,0.0
case0004,original,0.0148,1.0,equal_charge,0.1,100.0,100.0,0.0,0.0
case0005,original,0.0148,1.0,equal_current,0.1,100.0,100.0,0.0,0.0
case0006,interface_10pct,0.0148,1.0,equal_charge,0.001,17.999881276638156,23.84732005162658,2.0,2.5818534044831347
case0007,interface_10pct,0.0148,1.0,equal_current,0.001,18.00737565871189,23.868557739372118,2.0,2.5915321401909046
case0008,interface_10pct,0.0148,1.0,equal_charge,0.01,19.81632901351482,23.856840288635635,1.0000000000000009,2.5843744931669055
case0009,interface_10pct,0.0148,1.0,equal_current,0.01,19.8120674632475,23.839684059757914,1.0000000000000009,2.576531748814831
case0010,interface_10pct,0.0148,1.0,equal_charge,0.1,23.87006079717765,23.83319738958289,3.9999999999999964,2.516781794753113
case0011,interface_10pct,0.0148,1.0,equal_current,0.1,23.802651965975404,23.76347422838818,3.9999999999999964,2.4785560357918763
case0012,independent32_seed11,0.0148,1.0,equal_charge,0.001,99.75328167478561,99.03270251399063,0.0,-0.03601629481619212
case0013,independent32_seed11,0.0148,1.0,equal_current,0.001,99.75337435856733,99.0335363202418,0.0,-0.03589596444033942
case0014,independent32_seed11,0.0148,1.0,equal_charge,0.01,99.35488542983592,99.03306390339702,0.0,-0.035934308557149935
case0015,independent32_seed11,0.0148,1.0,equal_current,0.01,99.35451969460361,99.03208321617005,0.0,-0.03606758166396426
case0016,independent32_seed11,0.0148,1.0,equal_charge,0.1,99.03344574725028,99.04008914814382,0.0,-0.03400916115968433
case0017,independent32_seed11,0.0148,1.0,equal_current,0.1,99.0272365865831,99.03372845072536,0.0,-0.035056635351499166
case0018,independent32_seed22,0.0148,1.0,equal_charge,0.001,99.99898537408052,99.95835789314022,0.0,-0.005414744393656551
case0019,independent32_seed22,0.0148,1.0,equal_current,0.001,99.99899871623859,99.95901378313873,0.0,-0.005330748081006434
case0020,independent32_seed22,0.0148,1.0,equal_charge,0.01,99.99384478801673,99.95842192642931,0.0,-0.005394057822755843
case0021,independent32_seed22,0.0148,1.0,equal_current,0.01,99.99372172502531,99.95765354258108,0.0,-0.005491033922505259
case0022,independent32_seed22,0.0148,1.0,equal_charge,0.1,99.95895257506074,99.95819272027934,0.0,-0.005386048938627042
case0023,independent32_seed22,0.0148,1.0,equal_current,0.1,99.95499472465683,99.9533800442087,0.0,-0.006137260880403894
case0024,independent32_seed33,0.0148,1.0,equal_charge,0.001,99.98098768360563,99.9249462122607,0.0,0.0001556446341480916
case0025,independent32_seed33,0.0148,1.0,equal_current,0.001,99.98102052150911,99.92608456873145,0.0,0.00029369497580450377
case0026,independent32_seed33,0.0148,1.0,equal_charge,0.01,99.93453023209187,99.92501029411918,0.0,0.0001501620342410359
case0027,independent32_seed33,0.0148,1.0,equal_current,0.01,99.93425142016275,99.92358197405503,0.0,-2.5184424053137366e-05
case0028,independent32_seed33,0.0148,1.0,equal_charge,0.1,99.92599873595341,99.92667212942256,0.0,0.00033569750997053394
case0029,independent32_seed33,0.0148,1.0,equal_current,0.1,99.91844254763556,99.91835935980853,0.0,-0.0009454195815175592
case0030,cut,0.0148,1.0,equal_charge,0.001,8.85099148424756e-10,5.921559113812553e-09,835.0,569.4997747700648
case0031,cut,0.0148,1.0,equal_current,0.001,4.763804213247729e-09,2.6814008938751333e-08,915.0,579.8881789321638
case0032,cut,0.0148,1.0,equal_charge,0.01,9.427072706455991e-10,5.5453250370983296e-09,438.0,566.025272863502
case0033,cut,0.0148,1.0,equal_current,0.01,4.306221655935313e-10,2.6744427912793444e-09,423.0,559.8081484661934
