stage,model,gd,tau,gap,graph,pulse_s,amplitude_A_m2,restore_s,end_s,dose,id,peak_mV,time_peak_s,positive_area_mV_s,positive_centroid_s,final_mean_mV,final_max_departure_mV,target_ever_fraction,target_final_fraction,first_target_crossing_s,final_dv_max_V_s,final_gate_derivative_max_s_inv,net_cut_charge_effective_C_m2,positive_cut_charge_effective_C_m2,junction_sum_max_A_m2,nfev,method,rtol,atol,gate_min,gate_max,amplitude_factor,numerical_correction,strategy,budget_edges,added_weight
temporal,kv,0.0,0.0148,1.0,original,0.001,0.1,0.2,1.0,equal_charge,case0000,0.020383167447700357,0.004,0.0002705690463639769,0.010272420985673556,2.0816681711721685e-14,1.4155343563970746e-12,0.0,0.0,,1.2885309139121226e-12,1.8659998471318086e-13,3.213592224576566e-05,3.231835399027429e-05,2.130240428499519e-15,3120,DOP853,1e-08,1e-10,0.026572228058196125,0.028302272987089594,,,,,
temporal,kv,0.0,0.0148,1.0,original,0.001,0.02,0.2,1.0,equal_current,case0001,0.00407844278673547,0.004,5.4252950772003955e-05,0.010297845394094405,2.0816681711721685e-14,1.2073675392798577e-12,0.0,0.0,,1.1017662476797696e-12,1.5682837911195728e-13,6.442434436951096e-06,6.475043544782049e-06,2.130240428499519e-15,3105,DOP853,1e-08,1e-10,0.026572230348118477,0.026881309662495672,,,,,
temporal,kv,0.0,0.0148,1.0,original,0.01,0.01,0.2,1.0,equal_charge,case0002,0.016929386752323472,0.011,0.0002709075699162261,0.014775650924026785,2.7755575615628914e-14,1.457167719820518e-12,0.0,0.0,,1.2778406804914155e-12,1.8917862771801126e-13,3.219103196011184e-05,3.235031524553643e-05,2.130240428499519e-15,3174,DOP853,1e-08,1e-10,0.026572228205606167,0.02800667422895276,,,,,
temporal,kv,0.0,0.0148,1.0,original,0.01,0.02,0.2,1.0,equal_current,case0003,0.03383866034420424,0.011,0.0005409573103160627,0.014760196857547704,6.938893903907228e-15,1.6445178552260131e-12,0.0,0.0,,1.4597914890779329e-12,2.1426179149227048e-13,6.430035951869353e-05,6.463627272990859e-05,2.130240428499519e-15,3189,DOP853,1e-08,1e-10,0.02657222539184043,0.029585962076722053,,,,,
temporal,kv,0.0,0.0148,1.0,original,0.1,0.001,0.2,1.0,equal_charge,case0004,0.0027134170474882313,0.043000000000000003,0.00026890819173206945,0.05945232583951295,2.0816681711721685e-14,1.6792123247455493e-12,0.0,0.0,,1.5802680344845221e-12,2.2504520769428847e-13,3.222235903592498e-05,3.226420754839281e-05,2.130240428499519e-15,3144,DOP853,1e-08,1e-10,0.02657222996165006,0.026897794806153185,,,,,
temporal,kv,0.0,0.0148,1.0,original,0.1,0.02,0.2,1.0,equal_current,case0005,0.05394030688163354,0.042,0.005343573096567403,0.05937415511468673,1.3877787807814457e-14,1.2975731600306517e-12,0.0,0.0,,1.2030307305899157e-12,1.7300350341498426e-13,0.0006415947491883596,0.0006425416546586376,2.130240428499519e-15,3204,DOP853,1e-08,1e-10,0.026572211122554246,0.03383164195711997,,,,,
temporal,kv,0.0,0.0148,1.0,interface_10pct,0.001,0.1,0.2,1.0,equal_charge,case0006,0.00366894594100442,0.006,6.452346644705148e-05,0.01285427439015669,1.3877787807814457e-14,2.275957200481571e-12,0.0,0.0,,2.1047183093592103e-12,3.0521756293537876e-13,7.6406680059196e-06,7.707589206813606e-06,1.7728873924482969e-15,3093,DOP853,1e-08,1e-10,0.026572226453088228,0.028784772795972108,,,,,
temporal,kv,0.0,0.0148,1.0,interface_10pct,0.001,0.02,0.2,1.0,equal_current,case0007,0.0007344205136330939,0.006,1.2949396880328895e-05,0.01288937753428531,4.85722573273506e-14,1.6375789613221059e-12,0.0,0.0,,1.4127804828789614e-12,2.2012234377597593e-13,1.5339490428174216e-06,1.5464547772020943e-06,1.7728873924482969e-15,3078,DOP853,1e-08,1e-10,0.026572230058131304,0.026964667374286877,,,,,
temporal,kv,0.0,0.0148,1.0,interface_10pct,0.01,0.01,0.2,1.0,equal_charge,case0008,0.0033547829788108108,0.012,6.462998628473798e-05,0.01736002541719369,1.3877787807814457e-14,1.3808398868775384e-12,0.0,0.0,,1.2487623782253543e-12,1.8261480916026117e-13,7.658732021928085e-06,7.720289942865938e-06,1.7728873924482974e-15,3120,DOP853,1e-08,1e-10,0.026572226729897907,0.02844316118174336,,,,,
temporal,kv,0.0,0.0148,1.0,interface_10pct,0.01,0.02,0.2,1.0,equal_current,case0009,0.006704138216052924,0.012,0.00012896251367751355,0.017336728606362536,-1.3877787807814457e-14,1.5681900222830336e-12,0.0,0.0,,1.4559100453004348e-12,2.048849078383418e-13,1.5279688571433166e-05,1.540782763960327e-05,1.7728873924482974e-15,3135,DOP853,1e-08,1e-10,0.02657222222664321,0.030559356682955077,,,,,
