id,intact_id,geometry,model,gd,factor,history,restore_s,same_final_graph,accepted_stable_pair,intact_category,restored_category,intact_target_high,restored_target_high,target_count,intact_total_high,restored_total_high,max_final_voltage_difference_V,target_fraction_difference,history_dependence
v0002,v0000,historica,bistable,4.0,0.9,random,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,104,104,1,226,0.05850000421930271,1.0,True
v0005,v0003,historica,bistable,4.0,1.0,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,104,104,104,226,226,1.9949319973733282e-17,0.0,False
v0008,v0006,historica,bistable,4.0,1.1,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,104,104,104,226,226,1.9081958235744878e-17,0.0,False
v0015,v0013,fonte_esquerda,bistable,4.0,0.9,random,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,168,168,1,226,0.058516378342766386,1.0,True
v0018,v0016,fonte_esquerda,bistable,4.0,1.0,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,168,168,168,226,226,1.9949319973733282e-17,0.0,False
v0021,v0019,fonte_esquerda,bistable,4.0,1.1,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,168,168,168,226,226,1.9949319973733282e-17,0.0,False
v0028,v0026,fonte_direita,bistable,4.0,0.9,random,0.5,True,True,memoria_localizada,memoria_localizada,0,0,170,1,1,2.0816681711721685e-17,0.0,False
v0031,v0029,fonte_direita,bistable,4.0,1.0,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,170,170,170,226,226,2.0816681711721685e-17,0.0,False
v0034,v0032,fonte_direita,bistable,4.0,1.1,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,170,170,170,226,226,1.9949319973733282e-17,0.0,False
v0041,v0039,geometria_1701,bistable,4.0,0.9,random,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,110,110,1,226,0.05850064500508706,1.0,True
v0044,v0042,geometria_1701,bistable,4.0,1.0,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,110,110,110,226,226,1.9949319973733282e-17,0.0,False
v0047,v0045,geometria_1701,bistable,4.0,1.1,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,110,110,110,226,226,2.3418766925686896e-17,0.0,False
v0054,v0052,geometria_2701,bistable,4.0,0.9,random,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,109,109,1,226,0.05850002902727963,1.0,True
v0057,v0055,geometria_2701,bistable,4.0,1.0,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,109,109,109,226,226,1.9949319973733282e-17,0.0,False
v0060,v0058,geometria_2701,bistable,4.0,1.1,random,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,109,109,109,226,226,2.0816681711721685e-17,0.0,False
v0117,v0112,historica,cubic,0.0,0.9,random,0.5,True,True,transiente_sem_persistencia,transiente_sem_persistencia,0,0,104,0,0,2.7755575615628914e-17,0.0,False
v0124,v0119,historica,cubic,0.0,1.0,random,0.5,True,True,transiente_sem_persistencia,transiente_sem_persistencia,0,0,104,0,0,2.7755575615628914e-17,0.0,False
v0131,v0126,historica,cubic,0.0,1.1,random,0.5,True,True,transiente_sem_persistencia,transiente_sem_persistencia,0,0,104,0,0,2.7755575615628914e-17,0.0,False
