id,geometry,model,gd,factor,amplitude_A_m2,history,restore_s,pulse_s,end_s,blocks,controls,category,stationary,linearly_stable,max_real_eigen_s_inv,final_dV_max_V_s,final_gate_derivative_max_s_inv,threshold_V,rest_V,target_count,target_high,total_high,target_ever_high,total_ever_high,target_high_fraction,final_mean_V,target_final_mean_V,final_min_V,final_max_V,peak_V,target_peak_V,first_target_recruitment_s,final_max_departure_V,threshold_margin_final_V,junction_sum_sampled_max_A_m2,category_2s,target_high_2s,max_voltage_change_2_to_5s_V,nfev,gate_min,gate_max,solver,numerically_accepted,effective_source,numerical_correction
v0002,historica,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197034,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.0075471511183144435,0.007547151118314432,0.007547151118314456,0.02060349829414757,0.02060349829414757,0.015,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80787,0.027555593451845068,0.6439166869138792,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0005,historica,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197082,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.007547151118314444,0.007547151118314432,0.007547151118314456,0.020609277435881874,0.020609277435881874,0.013000000000000001,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80811,0.027555593451845068,0.6441485608379663,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0008,historica,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197046,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314445,0.007547151118314445,0.007547151118314433,0.007547151118314455,0.020655336578342728,0.020608269643122446,0.012,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80847,0.027555593451845068,0.6444085646162215,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0009,historica,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37357143386313,1.4419888894057209e-15,0.0,-0.03601657155330891,-0.0509712277624096,104,0,0,0,0,0.0,-0.050971227762409595,-0.050971227762409595,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,,0.0,0.014954656209100692,2.706168622523819e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0010,historica,kv,0.0,0.9,0.0741357421875,original,,0.02,5.0,[1],"[""no_additional_current""]",repouso,True,True,-68.31942104394163,5.616167253474913e-15,2.1097988221339546e-15,-0.03601657155330891,-0.051497482804242954,104,0,0,0,0,0.0,-0.05149748280424293,-0.05149748280424293,-0.051497482804242954,-0.051497482804242926,-0.03857648186075446,-0.04831206977137533,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,repouso,0,0.0,75220,0.026572183392754276,0.05197977351154327,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0011,historica,kv,0.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,[1],"[""no_additional_current""]",transiente_sem_persistencia,True,True,-68.31942104394196,5.529431079676073e-15,1.8753767307857373e-15,-0.03601657155330891,-0.051497482804242954,104,0,0,0,1,0.0,-0.05149748280424293,-0.05149748280424293,-0.05149748280424296,-0.051497482804242926,-0.03465835722485161,-0.05083499527933649,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,transiente_sem_persistencia,0,0.0,75171,0.026572139835861895,0.06417833282917455,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0012,historica,bistable,4.0,0.9,0.0741357421875,interface,,0.02,5.0,[1],"[""never_restore""]",memoria_localizada,True,True,-68.42229008717203,3.133344278483108e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,0,122,0,122,0.0,-0.01868673549944162,-0.04928489542897056,-0.05090711448881079,0.007547151051660679,0.0205921430004538,-0.04515983710796724,,0.05851837881407028,0.009483858578517523,2.42861286636753e-15,memoria_localizada,0,2.6020852139652106e-18,80536,0.027555593451845068,0.6432682650985947,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0015,fonte_esquerda,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197076,5.551115123125783e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,168,168,226,168,226,1.0,0.007547151118314445,0.007547151118314445,0.007547151118314432,0.007547151118314455,0.020599004520776044,0.020599004520776044,0.02,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,168,2.6020852139652106e-18,82359,0.027555593451845068,0.6443143030445269,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0018,fonte_esquerda,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.906415331972,5.551115123125783e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,168,168,226,168,226,1.0,0.007547151118314445,0.007547151118314446,0.007547151118314432,0.007547151118314455,0.02059751317521059,0.02059751317521059,0.017,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,168,3.469446951953614e-18,82119,0.027555593451845068,0.6442771912151626,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0021,fonte_esquerda,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197117,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,168,168,226,168,226,1.0,0.007547151118314445,0.007547151118314445,0.007547151118314433,0.007547151118314456,0.020562816666948994,0.020562816666948994,0.015,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,168,2.6020852139652106e-18,82131,0.027555593451845068,0.644466923709936,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
