id,intact_id,geometry,model,gd,factor,history,restore_s,same_final_graph,accepted_stable_pair,intact_category,restored_category,intact_target_high,restored_target_high,target_count,intact_total_high,restored_total_high,max_final_voltage_difference_V,target_fraction_difference,history_dependence
v0001,v0000,historica,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,104,104,1,226,0.0585000042193027,1.0,True
v0004,v0003,historica,bistable,4.0,1.0,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,104,104,104,226,226,2.168404344971009e-17,0.0,False
v0007,v0006,historica,bistable,4.0,1.1,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,104,104,104,226,226,2.168404344971009e-17,0.0,False
v0014,v0013,fonte_esquerda,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,168,168,1,226,0.058516378342766386,1.0,True
v0017,v0016,fonte_esquerda,bistable,4.0,1.0,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,168,168,168,226,226,1.9949319973733282e-17,0.0,False
v0020,v0019,fonte_esquerda,bistable,4.0,1.1,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,168,168,168,226,226,2.0816681711721685e-17,0.0,False
v0027,v0026,fonte_direita,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,170,170,1,226,0.05851652518498225,1.0,True
v0030,v0029,fonte_direita,bistable,4.0,1.0,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,170,170,170,226,226,1.9949319973733282e-17,0.0,False
v0033,v0032,fonte_direita,bistable,4.0,1.1,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,170,170,170,226,226,2.0816681711721685e-17,0.0,False
v0040,v0039,geometria_1701,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,110,110,1,226,0.05850064500508707,1.0,True
v0043,v0042,geometria_1701,bistable,4.0,1.0,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,110,110,110,226,226,2.168404344971009e-17,0.0,False
v0046,v0045,geometria_1701,bistable,4.0,1.1,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,110,110,110,226,226,2.42861286636753e-17,0.0,False
v0053,v0052,geometria_2701,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,109,109,1,226,0.05850002902727962,1.0,True
v0056,v0055,geometria_2701,bistable,4.0,1.0,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,109,109,109,226,226,2.862293735361732e-17,0.0,False
v0059,v0058,geometria_2701,bistable,4.0,1.1,interface,0.5,True,True,recrutamento_coletivo,recrutamento_coletivo,109,109,109,226,226,2.3418766925686896e-17,0.0,False
