id,intact_id,geometry,model,gd,factor,history,restore_s,same_final_graph,accepted_stable_pair,intact_category,restored_category,intact_target_high,restored_target_high,target_count,intact_total_high,restored_total_high,max_final_voltage_difference_V,target_fraction_difference,history_dependence
v0001,v0000,historica,bistable,4.0,0.9,interface,0.5,True,True,memoria_localizada,recrutamento_coletivo,0,104,104,1,226,0.0585000042193027,1.0,True
v0066,v0065,historica,bistable,3.4,0.9,interface,0.02,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.055606172015081834,1.0,True
v0067,v0065,historica,bistable,3.4,0.9,interface,0.05,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.05560617201508184,1.0,True
v0068,v0065,historica,bistable,3.4,0.9,interface,0.1,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.05560617201508184,1.0,True
v0069,v0065,historica,bistable,3.4,0.9,interface,0.2,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.05560617201508184,1.0,True
v0070,v0065,historica,bistable,3.4,0.9,interface,0.35,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.05560617201508184,1.0,True
v0071,v0065,historica,bistable,3.4,0.9,interface,0.5,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.05560617201508184,1.0,True
v0073,v0072,historica,bistable,3.6,0.9,interface,0.02,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
v0074,v0072,historica,bistable,3.6,0.9,interface,0.05,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
v0075,v0072,historica,bistable,3.6,0.9,interface,0.1,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
v0076,v0072,historica,bistable,3.6,0.9,interface,0.2,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
v0077,v0072,historica,bistable,3.6,0.9,interface,0.35,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
v0078,v0072,historica,bistable,3.6,0.9,interface,0.5,True,True,transiente_sem_persistencia,recrutamento_coletivo,0,104,104,0,226,0.056626105510810806,1.0,True
