id,geometry,model,gd,factor,amplitude_A_m2,history,restore_s,pulse_s,end_s,blocks,controls,category,stationary,linearly_stable,max_real_eigen_s_inv,final_dV_max_V_s,final_gate_derivative_max_s_inv,threshold_V,rest_V,target_count,target_high,total_high,target_ever_high,total_ever_high,target_high_fraction,final_mean_V,target_final_mean_V,final_min_V,final_max_V,peak_V,target_peak_V,first_target_recruitment_s,final_max_departure_V,threshold_margin_final_V,junction_sum_sampled_max_A_m2,category_2s,target_high_2s,max_voltage_change_2_to_5s_V,nfev,gate_min,gate_max,solver,numerically_accepted,effective_source,numerical_correction
v0000,historica,bistable,4.0,0.9,0.0741357421875,original,,0.02,5.0,"[1, 2]",[],memoria_localizada,True,True,-59.81627778121977,5.388484797252957e-15,7.50150692314295e-15,-0.03601657155330891,-0.0509712277624096,104,0,1,0,1,0.0,-0.04991741845051561,-0.05018621689379506,-0.05095285310098825,-0.012416902718127728,-0.005430595295346242,-0.038148687024771054,,0.03855432504428187,0.0032105891122618593,2.706168622523819e-15,memoria_localizada,0,1.734723475976807e-18,75652,0.027555593451845068,0.306749089708416,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0001,historica,bistable,4.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,"[1, 2]",[],recrutamento_coletivo,True,True,-80.90641533197115,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.007547151118314445,0.007547151118314432,0.007547151118314457,0.0205921430004538,0.02047054573218194,0.502,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,4.336808689942018e-18,83838,0.027555593451845068,0.6473235614185766,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0002,historica,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197034,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.0075471511183144435,0.007547151118314432,0.007547151118314456,0.02060349829414757,0.02060349829414757,0.015,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80787,0.027555593451845068,0.6439166869138792,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0003,historica,bistable,4.0,1.0,0.08237304687500001,original,,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.9064153319713,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314445,0.0075471511183144435,0.007547151118314432,0.007547151118314455,0.020658201703128026,0.020567087624410098,0.032,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,1.734723475976807e-18,80692,0.027555593451845068,0.6444347251381728,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0004,historica,bistable,4.0,1.0,0.08237304687500001,interface,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197095,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.007547151118314445,0.007547151118314432,0.007547151118314457,0.020662865257492394,0.02047054573218193,0.502,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,5.204170427930421e-18,83754,0.027555593451845068,0.6473235614185763,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0005,historica,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197082,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.007547151118314444,0.007547151118314432,0.007547151118314456,0.020609277435881874,0.020609277435881874,0.013000000000000001,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80811,0.027555593451845068,0.6441485608379663,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0006,historica,bistable,4.0,1.1,0.09061035156250001,original,,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197075,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314445,0.0075471511183144435,0.007547151118314433,0.007547151118314456,0.020630416695043643,0.020630416695043643,0.019,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,9.540979117872439e-18,80572,0.027555593451845068,0.6441411317439918,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0007,historica,bistable,4.0,1.1,0.09061035156250001,interface,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197079,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314446,0.007547151118314447,0.007547151118314433,0.007547151118314457,0.02065502995852787,0.02047054573218195,0.502,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,5.204170427930421e-18,83670,0.027555593451845068,0.6473235614185765,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0008,historica,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.90641533197046,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,104,104,226,104,226,1.0,0.007547151118314445,0.007547151118314445,0.007547151118314433,0.007547151118314455,0.020655336578342728,0.020608269643122446,0.012,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,104,2.6020852139652106e-18,80847,0.027555593451845068,0.6444085646162215,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0009,historica,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37357143386313,1.4419888894057209e-15,0.0,-0.03601657155330891,-0.0509712277624096,104,0,0,0,0,0.0,-0.050971227762409595,-0.050971227762409595,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,,0.0,0.014954656209100692,2.706168622523819e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
